Strategy report
Symbol: SPX
Work Time: 3/6/24, 1:35 PM - 11/18/24, 1:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;testing(Close at Lower Band);Buy to Open;100.0;$5,112.19;3/6/24, 1:35 PM;;$37.00;100.0;
2;testing(Sell at Upper Band);Sell to Close;-100.0;$5,138.12;3/7/24, 9:35 AM;$2,593.00;$2,593.00;0.0;
3;testing(Close at Lower Band);Buy to Open;100.0;$5,153.57;3/7/24, 3:05 PM;;$2,399.00;100.0;
4;testing(Sell at Upper Band);Sell to Close;-100.0;$5,169.09;3/8/24, 9:35 AM;$1,552.00;$4,145.00;0.0;
5;testing(Close at Lower Band);Buy to Open;100.0;$5,163.70;3/8/24, 11:10 AM;;$4,670.00;100.0;
6;testing(Sell at Upper Band);Sell to Close;-100.0;$5,144.47;3/8/24, 2:35 PM;($1,923.00);$2,222.00;0.0;
7;testing(Close at Lower Band);Buy to Open;100.0;$5,107.42;3/11/24, 9:35 AM;;$2,677.00;100.0;
8;testing(Sell at Upper Band);Sell to Close;-100.0;$5,122.46;3/11/24, 2:50 PM;$1,504.00;$3,726.00;0.0;
9;testing(Close at Lower Band);Buy to Open;100.0;$5,152.09;3/12/24, 12:40 PM;;$3,422.00;100.0;
10;testing(Sell at Upper Band);Sell to Close;-100.0;$5,173.03;3/13/24, 1:05 PM;$2,094.00;$5,820.00;0.0;
11;testing(Close at Lower Band);Buy to Open;100.0;$5,170.85;3/13/24, 3:00 PM;;$5,876.00;100.0;
12;testing(Sell at Upper Band);Sell to Close;-100.0;$5,124.09;3/15/24, 2:45 PM;($4,676.00);$1,144.00;0.0;
13;testing(Close at Lower Band);Buy to Open;100.0;$5,161.03;3/18/24, 11:55 AM;;$1,303.00;100.0;
14;testing(Sell at Upper Band);Sell to Close;-100.0;$5,164.06;3/18/24, 2:30 PM;$303.00;$1,447.00;0.0;
15;testing(Close at Lower Band);Buy to Open;100.0;$5,148.60;3/18/24, 3:55 PM;;$1,529.00;100.0;
16;testing(Sell at Upper Band);Sell to Close;-100.0;$5,151.96;3/19/24, 11:35 AM;$336.00;$1,783.00;0.0;
17;testing(Close at Lower Band);Buy to Open;100.0;$5,167.06;3/19/24, 3:10 PM;;$1,695.00;100.0;
18;testing(Sell at Upper Band);Sell to Close;-100.0;$5,175.75;3/19/24, 3:50 PM;$869.00;$2,652.00;0.0;
19;testing(Close at Lower Band);Buy to Open;100.0;$5,174.12;3/20/24, 1:15 PM;;$2,783.00;100.0;
20;testing(Sell at Upper Band);Sell to Close;-100.0;$5,195.57;3/20/24, 2:05 PM;$2,145.00;$4,797.00;0.0;
21;testing(Close at Lower Band);Buy to Open;100.0;$5,254.36;3/21/24, 1:10 PM;;$5,037.00;100.0;
22;testing(Sell at Upper Band);Sell to Close;-100.0;$5,240.15;3/22/24, 1:15 PM;($1,421.00);$3,376.00;0.0;
23;testing(Close at Lower Band);Buy to Open;100.0;$5,234.70;3/22/24, 3:15 PM;;$3,284.00;100.0;
24;testing(Sell at Upper Band);Sell to Close;-100.0;$5,227.97;3/25/24, 2:10 PM;($673.00);$2,703.00;0.0;
25;testing(Close at Lower Band);Buy to Open;100.0;$5,223.97;3/25/24, 3:15 PM;;$2,726.00;100.0;
26;testing(Sell at Upper Band);Sell to Close;-100.0;$5,234.04;3/26/24, 9:35 AM;$1,007.00;$3,710.00;0.0;
27;testing(Close at Lower Band);Buy to Open;100.0;$5,229.23;3/26/24, 12:35 PM;;$3,724.00;100.0;
28;testing(Sell at Upper Band);Sell to Close;-100.0;$5,221.93;3/27/24, 12:35 PM;($730.00);$2,980.00;0.0;
