Strategy report
Symbol: SPY
Work Time: 4/23/24, 3:05 PM - 11/18/24, 1:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;testing(Close at Lower Band);Buy to Open;100.0;$505.21;4/23/24, 3:05 PM;;$3.50;100.0;
2;testing(Sell at Upper Band);Sell to Close;-100.0;$504.82;4/24/24, 1:20 PM;($39.00);($39.00);0.0;
3;testing(Close at Lower Band);Buy to Open;100.0;$508.99;4/26/24, 2:20 PM;;($38.75);100.0;
4;testing(Sell at Upper Band);Sell to Close;-100.0;$510.68;4/29/24, 9:35 AM;$169.25;$130.25;0.0;
5;testing(Close at Lower Band);Buy to Open;100.0;$509.30;4/29/24, 9:45 AM;;$167.26;100.0;
6;testing(Sell at Upper Band);Sell to Close;-100.0;$510.38;4/29/24, 1:30 PM;$108.00;$238.25;0.0;
7;testing(Close at Lower Band);Buy to Open;100.0;$509.00;4/29/24, 2:35 PM;;$238.47;100.0;
8;testing(Sell at Upper Band);Sell to Close;-100.0;$502.01;5/1/24, 2:05 PM;($699.00);($460.75);0.0;
9;testing(Close at Lower Band);Buy to Open;100.0;$500.26;5/1/24, 4:00 PM;;($403.75);100.0;
10;testing(Sell at Upper Band);Sell to Close;-100.0;$503.43;5/2/24, 1:15 PM;$316.50;($144.25);0.0;
11;testing(Close at Lower Band);Buy to Open;100.0;$511.23;5/3/24, 3:35 PM;;($108.75);100.0;
12;testing(Sell at Upper Band);Sell to Close;-100.0;$513.95;5/6/24, 9:40 AM;$272.00;$127.75;0.0;
13;testing(Close at Lower Band);Buy to Open;100.0;$517.23;5/7/24, 1:50 PM;;$139.75;100.0;
14;testing(Sell at Upper Band);Sell to Close;-100.0;$517.70;5/7/24, 3:55 PM;$47.00;$174.75;0.0;
15;testing(Close at Lower Band);Buy to Open;100.0;$516.55;5/8/24, 12:40 PM;;$177.75;100.0;
16;testing(Sell at Upper Band);Sell to Close;-100.0;$517.07;5/8/24, 2:00 PM;$52.00;$226.75;0.0;
17;testing(Close at Lower Band);Buy to Open;100.0;$520.77;5/10/24, 10:30 AM;;$222.75;100.0;
18;testing(Sell at Upper Band);Sell to Close;-100.0;$520.70;5/10/24, 12:50 PM;($7.00);$219.75;0.0;
19;testing(Close at Lower Band);Buy to Open;100.0;$521.54;5/13/24, 9:40 AM;;$207.25;100.0;
20;testing(Sell at Upper Band);Sell to Close;-100.0;$522.08;5/14/24, 10:25 AM;$53.50;$273.25;0.0;
21;testing(Close at Lower Band);Buy to Open;100.0;$529.63;5/16/24, 1:25 PM;;$289.75;100.0;
22;testing(Sell at Upper Band);Sell to Close;-100.0;$531.10;5/20/24, 9:55 AM;$147.50;$420.75;0.0;
23;testing(Close at Lower Band);Buy to Open;100.0;$530.90;5/20/24, 11:55 AM;;$430.88;100.0;
24;testing(Sell at Upper Band);Sell to Close;-100.0;$530.21;5/21/24, 10:35 AM;($69.00);$351.75;0.0;
25;testing(Close at Lower Band);Buy to Open;100.0;$529.85;5/21/24, 12:10 PM;;$378.75;100.0;
26;testing(Sell at Upper Band);Sell to Close;-100.0;$530.36;5/21/24, 1:40 PM;$51.50;$403.25;0.0;
27;testing(Close at Lower Band);Buy to Open;100.0;$530.54;5/22/24, 11:55 AM;;$420.26;100.0;
28;testing(Sell at Upper Band);Sell to Close;-100.0;$529.80;5/22/24, 4:00 PM;($73.99);$329.26;0.0;
29;testing(Close at Lower Band);Buy to Open;100.0;$531.84;5/23/24, 9:35 AM;;$329.26;100.0;
30;testing(Sell at Upper Band);Sell to Close;-100.0;$528.19;5/24/24, 10:20 AM;($365.00);($35.74);0.0;
31;testing(Close at Lower Band);Buy to Open;100.0;$528.59;5/24/24, 3:05 PM;;($18.74);100.0;
32;testing(Sell at Upper Band);Sell to Close;-100.0;$530.27;5/28/24, 12:15 PM;$168.00;$132.26;0.0;
33;testing(Close at Lower Band);Buy to Open;100.0;$529.27;5/28/24, 1:05 PM;;$180.26;100.0;
34;testing(Sell at Upper Band);Sell to Close;-100.0;$529.87;5/28/24, 4:00 PM;$60.50;$192.76;0.0;
35;testing(Close at Lower Band);Buy to Open;100.0;$525.81;5/29/24, 3:55 PM;;$222.76;100.0;
36;testing(Sell at Upper Band);Sell to Close;-100.0;$525.02;5/30/24, 1:15 PM;($79.50);$113.26;0.0;
37;testing(Close at Lower Band);Buy to Open;100.0;$524.08;5/30/24, 2:25 PM;;$124.26;100.0;
38;testing(Sell at Upper Band);Sell to Close;-100.0;$520.44;5/31/24, 1:20 PM;($364.00);($250.74);0.0;
39;testing(Close at Lower Band);Buy to Open;100.0;$528.08;6/3/24, 9:55 AM;;($266.74);100.0;
