open,high,low,close,volume,datetime
1130.19995,1188.45996,1127.59998,1173.81995,0,2004-11-01 06:00:00
1173.78003,1217.32996,1173.78003,1211.92004,0,2004-12-01 06:00:00
1211.92004,1217.80005,1163.75,1181.27002,0,2005-01-01 06:00:00
1181.27002,1212.43994,1180.94995,1203.59998,0,2005-02-01 06:00:00
1203.59998,1229.10999,1163.68994,1180.58997,0,2005-03-01 06:00:00
1180.58997,1191.88,1136.15002,1156.84998,0,2005-04-01 06:00:00
1156.84998,1199.56006,1146.18005,1191.5,0,2005-05-01 05:00:00
1191.5,1219.58997,1188.30005,1191.32996,0,2005-06-01 05:00:00
1191.32996,1245.15002,1183.55005,1234.18005,0,2005-07-01 05:00:00
1234.18005,1245.85999,1201.06995,1220.32996,0,2005-08-01 05:00:00
1220.32996,1243.13,1205.34998,1228.81006,0,2005-09-01 05:00:00
1228.81006,1233.33997,1168.19995,1207.01001,0,2005-10-01 05:00:00
1207.01001,1270.64001,1201.06995,1249.47998,0,2005-11-01 06:00:00
1249.47998,1275.80005,1246.58997,1248.29004,0,2005-12-01 06:00:00
1248.29004,1294.90002,1245.73999,1280.07996,0,2006-01-01 06:00:00
1280.07996,1297.56995,1253.60999,1280.66003,0,2006-02-01 06:00:00
1280.66003,1310.88,1268.42004,1294.87,0,2006-03-01 06:00:00
1302.88,1318.16003,1280.73999,1310.60999,0,2006-04-01 06:00:00
1310.60999,1326.69995,1245.33997,1270.08997,0,2006-05-01 05:00:00
1270.05005,1290.68005,1219.29004,1270.19995,0,2006-06-01 05:00:00
1270.06006,1280.42004,1224.54004,1276.66003,0,2006-07-01 05:00:00
1278.53003,1306.73999,1261.30005,1303.81995,0,2006-08-01 05:00:00
1303.80005,1340.28003,1290.93005,1335.84998,0,2006-09-01 05:00:00
1335.81995,1389.4499,1327.09998,1377.94,0,2006-10-01 05:00:00
1377.76,1407.89,1360.98,1400.63,0,2006-11-01 06:00:00
1400.63,1431.81,1385.93,1418.3,0,2006-12-01 06:00:00
1418.03,1441.61,1403.97,1438.24,0,2007-01-01 06:00:00
1437.9,1461.57,1389.42,1406.82,0,2007-02-01 06:00:00
1406.8,1438.89,1363.98,1420.86,0,2007-03-01 06:00:00
1420.83,1498.02,1416.37,1482.37,0,2007-04-01 05:00:00
1482.37,1535.56,1476.7,1530.62,0,2007-05-01 05:00:00
1530.62,1540.56,1484.18,1503.35,0,2007-06-01 05:00:00
1504.66,1555.9,1454.25,1455.27,0,2007-07-01 05:00:00
1455.18,1503.89,1370.6,1473.99,0,2007-08-01 05:00:00
1473.96,1538.74,1439.29,1526.75,0,2007-09-01 05:00:00
1527.29,1576.09,1489.56,1549.38,0,2007-10-01 05:00:00
1545.79,1545.79,1406.1,1481.14,0,2007-11-01 05:00:00
1479.63,1523.57,1435.65,1468.36,0,2007-12-01 06:00:00
1467.97,1471.77,1270.05,1378.55,0,2008-01-01 06:00:00
1378.6,1396.02,1316.75,1330.63,0,2008-02-01 06:00:00
1330.45,1359.68,1256.98,1322.7,0,2008-03-01 06:00:00
1326.41,1404.57,1324.35,1385.59,0,2008-04-01 05:00:00
